DateTime,CustomerID,Product,Category,OriginalPrice,Revenue,Branch,PaymentMethod,PromoCode,TransactionID,EmployeeID,Tip,DayOfWeek,Hour,Date,SpendSegment,FreqSegment,CustomerType
2025-03-02 13:05:00,C1000,Avocado Toast,Savory Foods,2.5,2.5,Uptown,Card,NONE,0,UP_E1,1.34,Sunday,13,2025-03-02,Low Value,Regular,New
2025-03-02 13:05:00,C1000,Iced Tea,Tea-Based,2.5,0.0,Uptown,Card,FREEDRINK,0,UP_E1,1.34,Sunday,13,2025-03-02,Low Value,Regular,Repeat
2025-03-07 08:04:00,C1000,Cold Brew,Coffee-Based,4.0,3.4,Uptown,Card,WEEKEND5,1,UP_E2,0.08,Friday,8,2025-03-07,Low Value,Regular,Repeat
2025-03-24 08:45:00,C1000,Matcha Latte,Coffee-Based,2.5,2.5,Uptown,Card,NONE,2,UP_E1,0.38,Monday,8,2025-03-24,Low Value,Regular,Repeat
2025-03-24 08:45:00,C1000,Energy Ball,Snacks & Energy Bites,2.5,2.5,Uptown,Card,NONE,2,UP_E1,0.38,Monday,8,2025-03-24,Low Value,Regular,Repeat
2025-04-01 15:35:00,C1000,Cappuccino,Coffee-Based,1.5,0.0,Riverside,Card,FREEDRINK,3,RI_E2,0.04,Tuesday,15,2025-04-01,Low Value,Regular,Repeat
2025-04-01 15:35:00,C1000,Scone,Baked Goods,1.5,1.5,Riverside,Card,NONE,3,RI_E2,0.04,Tuesday,15,2025-04-01,Low Value,Regular,Repeat
2025-04-13 17:54:00,C1000,Mocha,Coffee-Based,4.25,4.25,Downtown,Cash,NONE,4,DO_E1,0.79,Sunday,17,2025-04-13,Low Value,Regular,Repeat
2025-04-20 16:19:00,C1000,Latte,Coffee-Based,3.75,3.38,Downtown,MobilePay,LOYAL10,5,DO_E1,0.16,Sunday,16,2025-04-20,Low Value,Regular,Repeat
2025-04-27 17:52:00,C1000,Cappuccino,Coffee-Based,3.5,3.5,Downtown,Card,NONE,6,DO_E1,0.52,Sunday,17,2025-04-27,Low Value,Regular,Repeat
2025-05-03 13:02:00,C1000,Tea,Tea-Based,2.0,2.0,Riverside,Card,NONE,7,RI_E2,0.2,Saturday,13,2025-05-03,Low Value,Regular,Repeat
2025-05-09 12:08:00,C1000,Brownie,Baked Goods,2.0,2.0,Riverside,Cash,NONE,8,RI_E1,0.31,Friday,12,2025-05-09,Low Value,Regular,Repeat
2025-05-15 17:22:00,C1000,Americano,Coffee-Based,2.0,2.0,Downtown,Card,NONE,9,DO_E1,0.49,Thursday,17,2025-05-15,Low Value,Regular,Repeat
2025-05-15 17:22:00,C1000,Donut,Baked Goods,2.0,2.0,Downtown,Card,NONE,9,DO_E1,0.49,Thursday,17,2025-05-15,Low Value,Regular,Repeat
2025-03-13 12:14:00,C1001,Croissant,Baked Goods,2.75,2.75,Downtown,Cash,NONE,10,DO_E1,0.65,Thursday,12,2025-03-13,Low Value,Occasional,New
2025-03-18 15:09:00,C1001,Matcha Latte,Coffee-Based,2.0,2.0,Uptown,Cash,NONE,11,UP_E3,0.08,Tuesday,15,2025-03-18,Low Value,Occasional,Repeat
2025-03-18 15:09:00,C1001,Energy Ball,Snacks & Energy Bites,2.0,2.0,Uptown,Cash,NONE,11,UP_E3,0.08,Tuesday,15,2025-03-18,Low Value,Occasional,Repeat
